metric,abs_latitude_deg,nh_climatology_pw,sh_poleward_climatology_pw
ERA5_actual_AHT,19.0,2.8696181629265514,3.398201459046964
ERA5_actual_AHT,20.0,2.9871648568360047,3.5442861937677463
ERA5_actual_AHT,21.0,3.098160215185892,3.6807346635704423
ERA5_actual_AHT,22.0,3.2037364736956966,3.811240244076581
ERA5_actual_AHT,23.0,3.298283051098666,3.936054700188174
ERA5_actual_AHT,24.0,3.390889841803134,4.051967320189032
ERA5_actual_AHT,25.0,3.477740085667702,4.161743362078844
ERA5_actual_AHT,26.0,3.5615609934903025,4.2681558367706955
ERA5_actual_AHT,27.0,3.640961217256199,4.371922048570924
ERA5_actual_AHT,28.0,3.713287008050022,4.4702320027552425
ERA5_actual_AHT,29.0,3.778111054834607,4.5622383959226
ERA5_actual_AHT,30.0,3.8381054399260575,4.646836421162232
ERA5_actual_AHT,31.0,3.898135660207688,4.725150751694274
ERA5_actual_AHT,32.0,3.963073773071312,4.795707104392927
ERA5_actual_AHT,33.0,4.030766721671641,4.857464798487826
ERA5_actual_AHT,34.0,4.109910873184154,4.914790966750249
ERA5_actual_AHT,35.0,4.179056778339043,4.963670403532917
ERA5_actual_AHT,36.0,4.252056477726597,5.014368599221984
ERA5_actual_AHT,37.0,4.324694894644507,5.0606136196785005
ERA5_actual_AHT,38.0,4.399756821807948,5.100999021368687
ERA5_actual_AHT,39.0,4.460721331050251,5.134522267162844
ERA5_actual_AHT,40.0,4.507619205371605,5.160795019298772
ERA5_actual_AHT,41.0,4.5305637008678135,5.170088002237697
ERA5_actual_AHT,42.0,4.522833543290006,5.156506628593173
ERA5_actual_AHT,43.0,4.487570673056753,5.1156771279664515
ERA5_actual_AHT,44.0,4.429558991337042,5.048170772265499
ERA5_actual_AHT,45.0,4.359929977791209,4.958789099081341
ERA5_actual_AHT,46.0,4.281347997320523,4.8488255551608725
ERA5_actual_AHT,47.0,4.187831553231151,4.728174220622174
ERA5_actual_AHT,48.0,4.089739480828077,4.597224609378822
ERA5_actual_AHT,49.0,3.98612639844438,4.457136008661481
ERA5_actual_AHT,50.0,3.8837444868740216,4.304822186323305
ERA5_actual_AHT,51.0,3.780406159043169,4.1485046710144475
ERA5_actual_AHT,52.0,3.673298437891871,3.993602956566853
ERA5_actual_AHT,53.0,3.559792533235304,3.842918283448381
ERA5_actual_AHT,54.0,3.4434020125649605,3.694953282479305
ERA5_actual_AHT,55.0,3.330789662254233,3.5523849023571232
ERA5_actual_AHT,56.0,3.2182506577670735,3.4143145450536743
ERA5_actual_AHT,57.0,3.1093403276545666,3.275563052733484
ERA5_actual_AHT,58.0,2.999029530256229,3.137411895852248
ERA5_actual_AHT,59.0,2.895524543942851,3.000044711563342
ERA5_actual_AHT,60.0,2.78734139534967,2.8622322717742077
ERA5_actual_AHT,61.0,2.666866853171588,2.723496660494318
ERA5_actual_AHT,62.0,2.545701765524711,2.582884875887931
ERA5_actual_AHT,63.0,2.419610973282975,2.4431959017358587
ERA5_actual_AHT,64.0,2.2842775422037387,2.305081863457876
ERA5_actual_AHT,65.0,2.15009532944866,2.166018763927076
ERA5_actual_AHT,66.0,2.011440679643151,2.0315527044794024
ERA5_actual_AHT,67.0,1.8732026505431711,1.8918622883715972
ERA5_actual_AHT,68.0,1.733665619994077,1.7496059980120011
ERA5_actual_AHT,69.0,1.5950344580926608,1.606046250518232
ERA5_actual_AHT,70.0,1.4611252308791522,1.4646855445655371
ERA5_actual_AHT,71.0,1.340130075063566,1.3227231964137234
ERA5_actual_AHT,72.0,1.224337366985947,1.19096487209478
ERA5_actual_AHT,73.0,1.1092845113874397,1.061583546424185
ERA5_actual_AHT,74.0,0.9987032505781284,0.9534374186906236
ERA5_actual_AHT,75.0,0.8961178706319365,0.840570866637434
ERA5_actual_AHT,76.0,0.7920153986910844,0.7409129501929111
ERA5_actual_AHT,77.0,0.695099300535515,0.6430076472839703
ERA5_actual_AHT,78.0,0.6078866338153844,0.5556408534791444
